Portfolio,Date,Week_End,Month,Operator,Brand,marketing_source,NRCs,NDCs,QNDCs,Deposits,Net Revenue,Revshare,CPA,Total Commission
PPC,01/01/2023,01/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,1,0,0,0,20.33,10.165,0,10.165
PPC,02/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,1,0,0,0,77.93,38.965,0,38.965
PPC,03/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,2,0,0,0,487.77,243.885,0,243.885
PPC,04/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,7,4,4,0,20.25,10.125,600,610.125
PPC,05/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,0,0,0,107.19,53.595,0,53.595
PPC,06/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,0,0,0,0,123.9,61.95,0,61.95
PPC,07/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,2,2,0,343.9,171.95,300,471.95
PPC,08/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,2,2,0,22.82,11.41,300,311.41
PPC,09/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,2,2,0,-235.95,-117.975,300,182.025
PPC,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,6,2,2,0,527.39,263.695,300,563.695
PPC,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,1,0,0,0,56.61,28.305,0,28.305
PPC,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,0,0,0,0,356.67,178.335,0,178.335
PPC,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,3,3,0,315.18,157.59,450,607.59
PPC,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,3,0,0,0,-67.26,-33.63,0,-33.63
PPC,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,7,2,2,0,-23.29,-11.645,300,288.355
PPC,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,5,3,3,0,2475.33,1237.665,450,1687.665
PPC,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,2,2,2,0,1497.68,748.84,300,1048.84
PPC,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,1,2,2,0,738.2,369.1,300,669.1
PPC,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-CAN-BAD,1,0,0,0,218.66,109.33,0,109.33
