accountId,date,tracker,trackerValue,trackerId,brand,brandId,country,countryCode,currencyCode,visits,downloads,signups,firstTimeDeposits,cpaCount,netRevenue,chargebacks,chargebackAmount,depositCount,depositAmount,withdrawalCount,withdrawalAmount,earning,cpaCommission,revShareCommission,calculatedCommission
4881,01/01/2023 00:00,GGC-CAS-CAN-Leo,3658814,24824,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,2.7712,0,0,0,0,0,0,0,0,0,0
4864,01/01/2023 00:00,YTPATFULL,6572,25649,Caesars IL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4873,01/01/2023 00:00,GGC-CAS-USA-YTPAT-Borgata,NULL,24956,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4865,01/01/2023 00:00,GBH-SCS-USA-GA,10903,24038,BetRivers.net,1400,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4864,01/01/2023 00:00,CAPTAINCAS,2605,23206,Caesars NJ,2677,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4875,01/01/2023 00:00,PFD-SPO-USA-VA-RTY,2412,28315,Wynnbet - VA,3185,NULL,NULL,NULL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4865,01/01/2023 00:00,MAX-SCS-USA-PARA,15343,29268,BetRivers.net,1400,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4873,01/01/2023 00:00,CTC-CAS-USA-PartyC,NULL,25450,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4864,01/01/2023 00:00,YTCAS,2749,23191,Caesars NJ,2677,NULL,NULL,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4881,01/01/2023 00:00,MEL-CAS-BRA,3742473,26621,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,2.8044,0,0,0,0,0,0,0,0,0,0
4865,01/01/2023 00:00,GBH-SCS-USA,10806,23598,BetRivers.net,1400,NULL,NULL,EUR,0,0,0,0,0,0,0,0,0,1.99,0,0,0.5,0,0.5,0.5
4865,01/01/2023 00:00,PMG-SCS-USA-SEO,14817,29275,BetRivers.net,1400,NULL,NULL,NULL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50171,01/01/2023 00:00,PBC-SPO-USA-PBTV,1759,102649,Tipico NJ,3282,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5092,01/01/2023 00:00,CTC-DFS-USA,25174,27853,FanDuel,1403,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5091,01/01/2023 00:00,BNE-SPO-GLO-USA,NULL,101592,PointsBet USA,NULL,NULL,NULL,NULL,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,0,0
5092,01/01/2023 00:00,PMG-DFS-USA-SEO,25177,27934,FanDuel,1403,NULL,NULL,NULL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5091,01/01/2023 00:00,GGC-SPO-USA-YTPAT,NULL,101480,PointsBet USA,NULL,NULL,NULL,NULL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4873,01/01/2023 00:00,TGT-SPO-USA-OH,NULL,100028,NULL,NULL,NULL,NULL,NULL,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4873,01/01/2023 00:00,CTC-SPO-USA-IL,NULL,29547,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5091,01/01/2023 00:00,PMG-SPO-USA-MI-TWT,NULL,101450,PointsBet USA,NULL,NULL,NULL,NULL,0,0,0,0,0,-225.94,0,0,0,100,0,0,0,0,0,0
4864,01/01/2023 00:00,TRUTHBONUSFULL,6569,25637,Caesars PA,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4865,01/01/2023 00:00,GBH-SCS-USA-CA,10801,23972,BetRivers.net,1400,NULL,NULL,NULL,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
